first_publication_topic,publication_order,topic_order,author_count
Medicine,9,6,5
Medicine,9,7,1
Medicine,9,8,1
Medicine,10,1,13
Medicine,10,2,2
Medicine,10,3,3
Medicine,10,4,4
Medicine,10,5,3
Medicine,10,6,2
Medicine,10,7,2
Medicine,10,8,2
Medicine,11,1,14
Medicine,11,4,2
Medicine,11,5,1
Medicine,11,6,1
Medicine,11,7,1
Medicine,11,8,1
Medicine,12,1,9
Medicine,12,2,2
Medicine,12,3,2
Medicine,12,4,1
Medicine,12,5,1
Medicine,12,6,1
Medicine,12,8,1
Medicine,13,1,10
Medicine,13,2,1
Medicine,13,3,1
Medicine,13,4,1
Medicine,13,8,1
Medicine,14,1,4
Medicine,14,2,3
Medicine,14,5,3
Medicine,14,7,1
Medicine,14,9,1
Medicine,15,1,7
Medicine,16,1,3
Medicine,16,2,1
Medicine,16,3,1
Medicine,16,4,1
Medicine,16,7,1
Medicine,17,1,3
Medicine,17,2,2
Medicine,17,9,1
Medicine,18,1,3
Medicine,18,4,1
Medicine,18,6,1
Medicine,19,1,2
Medicine,19,2,1
Medicine,20,1,1
Medicine,20,2,1
Medicine,20,3,1
Medicine,21,1,2
Medicine,21,5,1
Medicine,22,1,1
Medicine,22,4,1
Medicine,23,3,1
Neuroscience,1,1,3903
Neuroscience,2,1,28
Neuroscience,2,2,3875
Neuroscience,3,1,2
Neuroscience,3,2,37
Neuroscience,3,3,151
Neuroscience,4,1,1
Neuroscience,4,2,7
Neuroscience,4,3,12
Neuroscience,4,4,12
Neuroscience,5,2,2
Neuroscience,5,3,3
Neuroscience,5,4,6
Neuroscience,5,5,2
Neuroscience,6,1,1
Neuroscience,6,3,1
Neuroscience,6,4,1
Neuroscience,6,5,1
Neuroscience,7,2,1
Neuroscience,7,6,1
Neuroscience,8,2,1
Neuroscience,8,4,1
Neuroscience,9,5,1
Neuroscience,9,7,1
Neuroscience,10,6,1
Neuroscience,10,8,1
Nursing,1,1,2215
Nursing,2,1,6
Nursing,2,2,2209
Nursing,3,1,5
Nursing,3,2,13
Nursing,3,3,77
Nursing,4,2,3
Nursing,4,3,11
Nursing,4,4,10
Nursing,5,2,1
Nursing,5,3,3
Nursing,5,4,2
Nursing,5,5,3
Nursing,6,2,1
Nursing,6,5,1
Nursing,6,6,1
Nursing,7,2,1
Nursing,8,5,1
Nursing,9,2,1
Nursing,10,2,1
Nursing,11,2,1
Nursing,12,4,1
Nursing,13,2,1
Nursing,14,2,1
Nursing,15,6,1
Nursing,16,7,1
Nursing,17,2,1
Nursing,18,2,1
Nursing,19,2,1
Nursing,20,2,1
Nursing,21,2,1
Nursing,22,8,1
"Pharmacology, Toxicology and Pharmaceutics",1,1,1863
"Pharmacology, Toxicology and Pharmaceutics",2,1,7
"Pharmacology, Toxicology and Pharmaceutics",2,2,1856
"Pharmacology, Toxicology and Pharmaceutics",3,2,15
"Pharmacology, Toxicology and Pharmaceutics",3,3,77
"Pharmacology, Toxicology and Pharmaceutics",4,1,1
"Pharmacology, Toxicology and Pharmaceutics",4,2,3
"Pharmacology, Toxicology and Pharmaceutics",4,3,6
"Pharmacology, Toxicology and Pharmaceutics",4,4,8
"Pharmacology, Toxicology and Pharmaceutics",5,2,1
"Pharmacology, Toxicology and Pharmaceutics",5,3,2
"Pharmacology, Toxicology and Pharmaceutics",5,4,3
"Pharmacology, Toxicology and Pharmaceutics",5,5,1
"Pharmacology, Toxicology and Pharmaceutics",6,2,1
"Pharmacology, Toxicology and Pharmaceutics",6,4,1
"Pharmacology, Toxicology and Pharmaceutics",6,5,1
"Pharmacology, Toxicology and Pharmaceutics",7,3,1
"Pharmacology, Toxicology and Pharmaceutics",7,4,1
"Pharmacology, Toxicology and Pharmaceutics",8,5,1
"Pharmacology, Toxicology and Pharmaceutics",9,6,1
"Pharmacology, Toxicology and Pharmaceutics",10,4,1
"Pharmacology, Toxicology and Pharmaceutics",11,3,1
"Pharmacology, Toxicology and Pharmaceutics",12,4,1
"Pharmacology, Toxicology and Pharmaceutics",13,7,1
"Pharmacology, Toxicology and Pharmaceutics",14,8,1
Physics and Astronomy,1,1,16556
Physics and Astronomy,2,1,1029
Physics and Astronomy,2,2,15527
Physics and Astronomy,3,1,283
Physics and Astronomy,3,2,846
Physics and Astronomy,3,3,610
Physics and Astronomy,4,1,95
Physics and Astronomy,4,2,181
Physics and Astronomy,4,3,138
Physics and Astronomy,4,4,37
Physics and Astronomy,5,1,41
Physics and Astronomy,5,2,45
Physics and Astronomy,5,3,42
Physics and Astronomy,5,4,33
Physics and Astronomy,5,5,6
Physics and Astronomy,6,1,20
Physics and Astronomy,6,2,23
Physics and Astronomy,6,3,13
Physics and Astronomy,6,4,11
Physics and Astronomy,6,5,6
Physics and Astronomy,6,6,1
Physics and Astronomy,7,1,9
Physics and Astronomy,7,2,15
Physics and Astronomy,7,3,8
Physics and Astronomy,7,4,6
Physics and Astronomy,7,5,2
Physics and Astronomy,7,6,1
Physics and Astronomy,8,1,7
Physics and Astronomy,8,2,3
Physics and Astronomy,8,3,5
Physics and Astronomy,8,4,1
Physics and Astronomy,8,5,3
Physics and Astronomy,8,6,2
Physics and Astronomy,9,1,2
Physics and Astronomy,9,2,4
Physics and Astronomy,9,3,2
Physics and Astronomy,9,4,1
Physics and Astronomy,9,5,2
Physics and Astronomy,9,6,2
Physics and Astronomy,10,1,2
Physics and Astronomy,10,3,2
Physics and Astronomy,10,4,2
Physics and Astronomy,10,7,1
Physics and Astronomy,11,1,1
Physics and Astronomy,11,2,1
Physics and Astronomy,11,3,1
Physics and Astronomy,12,2,1
Physics and Astronomy,12,3,1
Physics and Astronomy,12,6,1
Physics and Astronomy,13,3,2
Physics and Astronomy,14,8,1
Psychology,1,1,8548
Psychology,2,1,60
Psychology,2,2,8488
Psychology,3,1,8
Psychology,3,2,69
Psychology,3,3,273
Psychology,4,1,3
Psychology,4,2,5
Psychology,4,3,19
Psychology,4,4,29
Psychology,5,1,1
Psychology,5,2,4
Psychology,5,3,3
Psychology,5,4,3
Psychology,5,5,6
Psychology,6,1,1
Psychology,6,3,1
Psychology,6,4,4
Psychology,6,6,2
Psychology,7,1,1
Psychology,7,2,1
Psychology,7,4,1
Psychology,7,5,1
Psychology,7,7,1
Psychology,8,5,3
Social Sciences,1,1,61502
Social Sciences,2,1,1610
Social Sciences,2,2,59892
Social Sciences,3,1,339
Social Sciences,3,2,1505
Social Sciences,3,3,1373
Social Sciences,4,1,129
Social Sciences,4,2,200
Social Sciences,4,3,278
Social Sciences,4,4,94
Social Sciences,5,1,78
Social Sciences,5,2,59
Social Sciences,5,3,82
Social Sciences,5,4,42
Social Sciences,5,5,14
Social Sciences,6,1,35
Social Sciences,6,2,35
Social Sciences,6,3,47
Social Sciences,6,4,37
Social Sciences,6,5,8
Social Sciences,6,6,3
Social Sciences,7,1,29
Social Sciences,7,2,19
Social Sciences,7,3,21
Social Sciences,7,4,8
Social Sciences,7,5,13
Social Sciences,7,6,4
Social Sciences,7,7,1
Social Sciences,8,1,19
Social Sciences,8,2,13
Social Sciences,8,3,16
Social Sciences,8,4,6
Social Sciences,8,5,7
Social Sciences,8,6,5
Social Sciences,9,1,12
Social Sciences,9,2,11
Social Sciences,9,3,7
Social Sciences,9,4,13
Social Sciences,9,5,1
Social Sciences,9,7,2
Social Sciences,10,1,9
Social Sciences,10,2,7
Social Sciences,10,3,2
Social Sciences,10,4,7
Social Sciences,10,5,6
Social Sciences,10,7,1
Social Sciences,10,8,1
Social Sciences,11,1,5
Social Sciences,11,2,5
Social Sciences,11,3,5
Social Sciences,11,4,4
Social Sciences,11,5,1
Social Sciences,11,6,2
Social Sciences,12,1,5
Social Sciences,12,2,3
Social Sciences,12,3,1
Social Sciences,12,4,3
Social Sciences,12,5,4
Social Sciences,12,6,1
Social Sciences,13,1,4
Social Sciences,13,2,3
Social Sciences,13,3,2
Social Sciences,13,5,3
Social Sciences,13,6,1
Social Sciences,13,9,1
Social Sciences,14,1,2
Social Sciences,14,2,1
Social Sciences,14,3,2
Social Sciences,14,4,1
Social Sciences,14,5,2
Social Sciences,14,6,1
Social Sciences,15,1,2
Social Sciences,15,2,1
Social Sciences,15,4,1
Social Sciences,15,5,1
Social Sciences,15,6,1
Social Sciences,16,1,2
Social Sciences,16,2,1
Social Sciences,16,3,1
Social Sciences,16,4,1
Social Sciences,17,1,1
Social Sciences,17,2,2
Social Sciences,17,3,1
Social Sciences,18,1,2
Social Sciences,18,2,1
Social Sciences,18,4,1
Social Sciences,19,1,2
Social Sciences,19,2,2
Social Sciences,20,1,2
Social Sciences,20,2,1
Social Sciences,20,6,1
Social Sciences,21,1,1
Social Sciences,21,2,1
Social Sciences,21,4,1
Social Sciences,21,7,1
Social Sciences,22,1,2
Social Sciences,23,1,1
Social Sciences,23,2,1
Social Sciences,24,3,1
Social Sciences,24,4,1
Social Sciences,25,2,1
Social Sciences,25,3,1
Social Sciences,26,1,1
Social Sciences,26,2,1
Social Sciences,27,1,1
Social Sciences,27,2,1
Social Sciences,28,2,1
Social Sciences,28,7,1
Social Sciences,29,2,1
Social Sciences,30,2,1
Social Sciences,31,2,1
Social Sciences,32,2,1
Social Sciences,33,2,1
Social Sciences,34,2,1
Social Sciences,35,2,1
Social Sciences,36,2,1
Social Sciences,37,2,1
Social Sciences,38,2,1
Social Sciences,39,1,1
Social Sciences,40,4,1
Social Sciences,41,2,1
Social Sciences,42,2,1
Social Sciences,43,2,1
Social Sciences,44,2,1
Social Sciences,45,1,1
Social Sciences,46,5,1
Veterinary,1,1,684
Veterinary,2,1,3
Veterinary,2,2,681
Veterinary,3,1,1
Veterinary,3,2,3
Veterinary,3,3,38
Veterinary,4,3,2
Veterinary,4,4,1
