pub_year,topic_field_display_name,num_publications,cross_collaboration_metric,authors
1908,Physics and Astronomy,2,1.0,28
1908,Psychology,3,0.75,15
1908,Social Sciences,19,0.6,149
1909,Agricultural and Biological Sciences,4,1.0,76
1909,Arts and Humanities,29,0.975,239
1909,"Biochemistry, Genetics and Molecular Biology",2,0.5,39
1909,"Business, Management and Accounting",1,1.0,16
1909,Chemistry,3,1.0,11
1909,Computer Science,1,0.0,0
1909,Dentistry,1,0.0,0
1909,Earth and Planetary Sciences,2,0.5,20
1909,"Economics, Econometrics and Finance",3,1.0,19
1909,Engineering,8,0.875,66
1909,Environmental Science,5,0.6,32
1909,Health Professions,2,1.0,35
1909,Mathematics,2,1.0,25
1909,Medicine,25,0.7575757575757576,206
1909,"Pharmacology, Toxicology and Pharmaceutics",1,0.0,0
1909,Physics and Astronomy,3,0.3333333333333333,29
1909,Psychology,6,0.5,19
1909,Social Sciences,27,0.8064516129032258,172
1910,Agricultural and Biological Sciences,3,1.0,83
1910,Arts and Humanities,22,0.8387096774193549,270
1910,"Biochemistry, Genetics and Molecular Biology",5,0.8333333333333334,46
1910,"Business, Management and Accounting",1,1.0,19
1910,Chemistry,3,0.6666666666666666,16
1910,Computer Science,1,1.0,11
1910,Earth and Planetary Sciences,1,0.0,0
1910,"Economics, Econometrics and Finance",1,1.0,21
1910,Engineering,4,0.8333333333333334,72
1910,Environmental Science,8,0.625,38
1910,Health Professions,3,1.0,39
1910,Immunology and Microbiology,1,0.0,0
1910,Materials Science,3,0.5,5
1910,Mathematics,1,1.0,26
1910,Medicine,18,0.9,225
1910,Neuroscience,2,0.5,8
1910,Physics and Astronomy,3,0.3333333333333333,30
1910,Psychology,2,0.3333333333333333,20
1910,Social Sciences,21,0.72,185
1911,Agricultural and Biological Sciences,8,1.0,90
1911,Arts and Humanities,31,0.9230769230769231,309
1911,"Biochemistry, Genetics and Molecular Biology",1,1.0,48
1911,Chemical Engineering,1,0.0,0
1911,Chemistry,1,1.0,17
1911,Computer Science,1,1.0,12
1911,"Economics, Econometrics and Finance",5,0.8888888888888888,29
1911,Engineering,4,1.0,92
1911,Environmental Science,7,0.42857142857142855,41
1911,Health Professions,4,0.75,43
1911,Immunology and Microbiology,1,0.0,0
1911,Materials Science,1,0.0,0
1911,Mathematics,2,1.0,29
1911,Medicine,25,0.9375,253
1911,Neuroscience,1,1.0,9
1911,Nursing,1,1.0,4
1911,Physics and Astronomy,4,1.0,35
1911,Psychology,2,0.5,22
1911,Social Sciences,19,0.6666666666666666,200
1912,Agricultural and Biological Sciences,8,1.0,101
1912,Arts and Humanities,19,0.95,331
1912,"Biochemistry, Genetics and Molecular Biology",2,0.5,50
1912,"Business, Management and Accounting",2,1.0,25
1912,Chemistry,2,1.0,20
1912,Computer Science,1,0.0,0
1912,Decision Sciences,2,0.5,4
1912,Dentistry,1,1.0,1
1912,Earth and Planetary Sciences,2,1.0,23
1912,"Economics, Econometrics and Finance",5,0.8,34
1912,Engineering,8,0.875,99
1912,Environmental Science,4,1.0,46
1912,Health Professions,2,1.0,48
1912,Mathematics,3,1.0,33
1912,Medicine,32,0.8974358974358975,286
1912,Physics and Astronomy,5,1.0,39
1912,Psychology,2,1.0,25
1912,Social Sciences,24,0.6923076923076923,216
1913,Agricultural and Biological Sciences,9,1.0,108
1913,Arts and Humanities,21,0.8378378378378378,367
1913,"Biochemistry, Genetics and Molecular Biology",4,1.0,57
1913,"Business, Management and Accounting",6,0.6666666666666666,32
1913,Chemistry,3,0.75,26
1913,Computer Science,3,0.6666666666666666,18
1913,Earth and Planetary Sciences,4,0.5,25
1913,"Economics, Econometrics and Finance",3,1.0,38
1913,Engineering,5,1.0,104
1913,Environmental Science,1,1.0,47
1913,Health Professions,2,0.5,53
1913,Immunology and Microbiology,1,0.0,0
1913,Materials Science,1,0.0,0
1913,Mathematics,2,1.0,35
1913,Medicine,32,0.85,321
1913,Neuroscience,1,0.0,0
1913,Nursing,5,0.4,6
1913,Physics and Astronomy,2,1.0,42
1913,Social Sciences,21,0.75,235
1914,Agricultural and Biological Sciences,7,1.0,118
1914,Arts and Humanities,18,0.9130434782608695,394
1914,"Biochemistry, Genetics and Molecular Biology",4,0.6,63
1914,Chemistry,2,1.0,28
1914,Computer Science,1,1.0,19
1914,Earth and Planetary Sciences,2,0.3333333333333333,26
1914,"Economics, Econometrics and Finance",3,0.3333333333333333,40
1914,Engineering,4,0.75,107
1914,Environmental Science,3,0.6,52
1914,Health Professions,2,1.0,56
1914,Materials Science,1,1.0,6
1914,Mathematics,4,0.75,38
1914,Medicine,25,0.8214285714285714,341
1914,Neuroscience,1,1.0,10
1914,Nursing,3,0.25,8
1914,Physics and Astronomy,3,1.0,47
1914,Psychology,3,0.3333333333333333,0
1914,Social Sciences,21,0.7037037037037037,255
1915,Agricultural and Biological Sciences,8,1.0,130
1915,Arts and Humanities,31,0.9375,428
1915,"Biochemistry, Genetics and Molecular Biology",3,0.5,69
1915,"Business, Management and Accounting",1,1.0,39
1915,Chemistry,3,0.6666666666666666,30
1915,Earth and Planetary Sciences,2,1.0,28
1915,"Economics, Econometrics and Finance",4,0.75,44
1915,Energy,2,1.0,17
1915,Engineering,8,1.0,124
1915,Environmental Science,5,0.6,55
1915,Health Professions,4,0.5,58
1915,Immunology and Microbiology,1,0.0,0
1915,Mathematics,2,1.0,42
1915,Medicine,20,0.9090909090909091,364
1915,Neuroscience,1,0.0,0
1915,"Pharmacology, Toxicology and Pharmaceutics",2,0.0,0
1915,Physics and Astronomy,5,1.0,52
1915,Psychology,4,0.6,28
1915,Social Sciences,29,0.7105263157894737,283
1916,Agricultural and Biological Sciences,5,1.0,137
1916,Arts and Humanities,15,0.9473684210526315,447
1916,"Biochemistry, Genetics and Molecular Biology",4,0.75,73
1916,Chemistry,1,1.0,32
1916,Dentistry,2,1.0,3
1916,Earth and Planetary Sciences,1,1.0,29
1916,"Economics, Econometrics and Finance",1,1.0,45
1916,Engineering,10,0.9285714285714286,137
1916,Environmental Science,5,0.6,58
1916,Health Professions,4,0.75,62
1916,Immunology and Microbiology,1,1.0,8
1916,Materials Science,1,1.0,7
1916,Mathematics,2,1.0,45
1916,Medicine,18,0.9090909090909091,386
1916,Physics and Astronomy,4,1.0,56
1916,Psychology,2,1.0,31
1916,Social Sciences,28,0.7096774193548387,300
1917,Agricultural and Biological Sciences,3,1.0,145
1917,Arts and Humanities,25,0.8666666666666667,476
1917,"Biochemistry, Genetics and Molecular Biology",4,0.75,77
1917,"Business, Management and Accounting",2,1.0,41
1917,Computer Science,1,1.0,22
1917,Dentistry,3,0.3333333333333333,4
1917,"Economics, Econometrics and Finance",3,1.0,48
1917,Engineering,3,1.0,142
1917,Environmental Science,6,0.7857142857142857,69
1917,Health Professions,4,0.75,66
1917,Materials Science,1,0.0,0
1917,Mathematics,2,1.0,47
1917,Medicine,17,0.75,403
1917,"Pharmacology, Toxicology and Pharmaceutics",2,0.0,0
1917,Physics and Astronomy,6,0.5714285714285714,61
1917,Social Sciences,18,0.6774193548387096,323
1918,Agricultural and Biological Sciences,9,1.0,161
1918,Arts and Humanities,21,0.9285714285714286,504
1918,"Biochemistry, Genetics and Molecular Biology",1,1.0,78
1918,"Business, Management and Accounting",4,0.5,43
1918,Chemistry,3,1.0,36
1918,Computer Science,2,1.0,24
1918,Decision Sciences,1,1.0,5
1918,Earth and Planetary Sciences,1,0.0,0
1918,"Economics, Econometrics and Finance",1,1.0,50
1918,Energy,1,1.0,19
1918,Engineering,4,0.9090909090909091,154
1918,Environmental Science,2,0.5,70
1918,Health Professions,6,1.0,74
1918,Materials Science,2,0.5,8
1918,Mathematics,2,0.5,48
1918,Medicine,17,0.8,418
1918,Neuroscience,1,1.0,11
1918,Physics and Astronomy,1,1.0,64
1918,Psychology,5,0.8,35
1918,Social Sciences,21,0.6818181818181818,336
1919,Agricultural and Biological Sciences,6,0.8571428571428571,168
1919,Arts and Humanities,15,0.7727272727272727,525
1919,"Biochemistry, Genetics and Molecular Biology",2,0.5,79
1919,"Business, Management and Accounting",1,1.0,44
1919,Chemistry,5,0.6,39
1919,Computer Science,4,0.5,28
1919,Decision Sciences,1,0.0,0
