topic_field_display_name,id,pub_year
"Biochemistry, Genetics and Molecular Biology",11,1938
Physics and Astronomy,11,1930
Nursing,11,1974
"Business, Management and Accounting",11,1907
Dentistry,11,1988
Environmental Science,11,1909
Environmental Science,11,1912
Chemistry,11,1913
"Biochemistry, Genetics and Molecular Biology",11,1914
Immunology and Microbiology,11,1955
Environmental Science,11,1914
"Business, Management and Accounting",11,1938
Nursing,11,1978
Chemical Engineering,11,1990
Physics and Astronomy,11,1932
Earth and Planetary Sciences,11,1956
Environmental Science,11,1901
Veterinary,11,2000
Neuroscience,11,1973
Chemical Engineering,11,1963
Engineering,11,1900
Physics and Astronomy,11,1934
Physics and Astronomy,11,1901
Immunology and Microbiology,11,1949
Dentistry,11,1991
Immunology and Microbiology,11,1950
"Pharmacology, Toxicology and Pharmaceutics",11,1968
Veterinary,11,2004
Veterinary,11,2003
Veterinary,11,2002
Physics and Astronomy,11,1938
Mathematics,11,1938
Earth and Planetary Sciences,11,1948
Agricultural and Biological Sciences,11,1906
Psychology,11,1938
Environmental Science,11,1939
"Economics, Econometrics and Finance",11,1920
Agricultural and Biological Sciences,11,1919
Immunology and Microbiology,11,1967
Physics and Astronomy,11,1941
Immunology and Microbiology,11,1936
Physics and Astronomy,11,1950
Earth and Planetary Sciences,11,1995
"Economics, Econometrics and Finance",12,1928
Chemistry,12,1929
Physics and Astronomy,12,1928
Environmental Science,12,1904
"Business, Management and Accounting",12,1948
Agricultural and Biological Sciences,12,1903
Health Professions,12,1902
Materials Science,12,1950
Energy,12,1991
Immunology and Microbiology,12,1948
"Business, Management and Accounting",12,1952
Chemistry,12,1998
"Business, Management and Accounting",12,1926
"Biochemistry, Genetics and Molecular Biology",12,1927
Earth and Planetary Sciences,12,1926
Environmental Science,12,1942
"Business, Management and Accounting",12,1967
Nursing,12,1988
Decision Sciences,12,1967
Health Professions,12,1909
"Business, Management and Accounting",12,1964
Psychology,12,1909
"Business, Management and Accounting",12,1911
Dentistry,12,1986
Chemistry,12,1946
Physics and Astronomy,12,1945
Health Professions,12,1924
Chemistry,12,1995
Earth and Planetary Sciences,12,1919
Environmental Science,12,1945
Engineering,12,1918
"Economics, Econometrics and Finance",12,1945
Health Professions,12,1917
Physics and Astronomy,12,1939
Neuroscience,12,1954
"Pharmacology, Toxicology and Pharmaceutics",12,1974
Chemical Engineering,12,1959
Immunology and Microbiology,12,1968
Health Professions,12,1915
Environmental Science,12,1944
Decision Sciences,12,1966
"Economics, Econometrics and Finance",12,1949
Mathematics,12,1949
Neuroscience,12,1949
Computer Science,12,1919
Environmental Science,12,1920
Chemistry,12,1919
Engineering,12,1921
Health Professions,12,1912
Health Professions,12,1913
Earth and Planetary Sciences,12,1913
"Economics, Econometrics and Finance",12,1925
"Economics, Econometrics and Finance",12,1932
Chemistry,12,1933
Mathematics,12,1933
Earth and Planetary Sciences,12,1955
"Biochemistry, Genetics and Molecular Biology",13,1926
Immunology and Microbiology,13,1963
Mathematics,13,1959
Earth and Planetary Sciences,13,1942
Nursing,13,1967
Immunology and Microbiology,13,1947
Environmental Science,13,1947
Materials Science,13,1942
Decision Sciences,13,1977
Chemical Engineering,13,1978
Computer Science,13,1958
Environmental Science,13,1928
Mathematics,13,1948
Engineering,13,1910
Energy,13,1987
Mathematics,13,1963
Computer Science,13,1947
Immunology and Microbiology,13,1961
"Economics, Econometrics and Finance",13,1944
"Business, Management and Accounting",13,1922
Mathematics,13,1960
Health Professions,13,1923
"Economics, Econometrics and Finance",13,1995
Health Professions,13,1995
"Pharmacology, Toxicology and Pharmaceutics",13,1965
Neuroscience,13,1965
"Business, Management and Accounting",13,1913
"Economics, Econometrics and Finance",13,1913
Computer Science,13,1950
Computer Science,13,1945
Health Professions,13,1918
Physics and Astronomy,13,1917
"Business, Management and Accounting",13,1915
Chemical Engineering,13,1985
Chemical Engineering,13,1984
Health Professions,13,1916
"Business, Management and Accounting",13,1939
Earth and Planetary Sciences,13,1930
Immunology and Microbiology,13,1962
Energy,13,1962
"Biochemistry, Genetics and Molecular Biology",13,1906
"Business, Management and Accounting",13,1928
Mathematics,13,1937
Earth and Planetary Sciences,13,1928
Earth and Planetary Sciences,13,1950
"Business, Management and Accounting",13,1934
"Business, Management and Accounting",13,1936
Physics and Astronomy,13,1929
"Business, Management and Accounting",13,1941
"Economics, Econometrics and Finance",13,1930
Neuroscience,13,1974
"Business, Management and Accounting",13,1931
Decision Sciences,13,1973
Mathematics,13,1957
Mathematics,13,1939
"Business, Management and Accounting",13,1933
Computer Science,13,1933
Mathematics,14,1955
"Business, Management and Accounting",14,1955
Health Professions,14,1932
Earth and Planetary Sciences,14,1957
"Business, Management and Accounting",14,1935
Psychology,14,1932
"Economics, Econometrics and Finance",14,1955
Earth and Planetary Sciences,14,1935
Neuroscience,14,1968
Earth and Planetary Sciences,14,1936
"Business, Management and Accounting",14,1956
Computer Science,14,1930
"Business, Management and Accounting",14,1930
Mathematics,14,1958
Immunology and Microbiology,14,1973
Dentistry,14,1997
"Business, Management and Accounting",14,1923
Neuroscience,14,1979
Chemical Engineering,14,1983
Environmental Science,14,1917
Decision Sciences,14,1985
"Business, Management and Accounting",14,1945
Engineering,14,1924
Earth and Planetary Sciences,14,1949
Earth and Planetary Sciences,14,1951
Materials Science,14,1995
"Business, Management and Accounting",14,1951
"Business, Management and Accounting",14,1961
Health Professions,14,1998
Health Professions,14,1908
Neuroscience,14,1963
Psychology,14,1946
Chemical Engineering,14,1988
Health Professions,14,1910
Engineering,14,1911
Veterinary,14,1990
Immunology and Microbiology,14,1992
Engineering,14,1901
Psychology,14,1939
Immunology and Microbiology,14,1977
Mathematics,14,1962
Immunology and Microbiology,14,1979
"Business, Management and Accounting",14,1958
Physics and Astronomy,14,1936
Computer Science,14,1956
Immunology and Microbiology,15,1952
Chemical Engineering,15,1997
Engineering,15,1920
Decision Sciences,15,1960
"Biochemistry, Genetics and Molecular Biology",15,1942
"Business, Management and Accounting",15,1942
Energy,15,1978
"Economics, Econometrics and Finance",15,1924
Earth and Planetary Sciences,15,1962
"Pharmacology, Toxicology and Pharmaceutics",15,1991
Engineering,15,1902
Agricultural and Biological Sciences,15,1912
Psychology,15,1935
Physics and Astronomy,15,1937
Chemical Engineering,15,1986
Nursing,15,1985
Environmental Science,15,1900
Chemistry,15,1925
Energy,15,1986
Agricultural and Biological Sciences,15,1909
"Pharmacology, Toxicology and Pharmaceutics",15,1986
Nursing,15,1987
Energy,15,1989
Engineering,15,1909
"Business, Management and Accounting",15,1949
Neuroscience,15,1964
Psychology,15,1945
Nursing,15,1993
Computer Science,15,1961
Computer Science,15,1936
Mathematics,15,1936
Veterinary,15,2006
Immunology and Microbiology,15,1970
"Biochemistry, Genetics and Molecular Biology",15,1933
Chemical Engineering,15,1974
Engineering,15,1904
"Biochemistry, Genetics and Molecular Biology",15,1928
Decision Sciences,15,1962
"Biochemistry, Genetics and Molecular Biology",15,1944
Decision Sciences,15,1984
Health Professions,15,1905
Chemical Engineering,15,1977
Physics and Astronomy,15,1927
Decision Sciences,15,1978
"Economics, Econometrics and Finance",15,1956
Veterinary,15,2012
Neuroscience,15,1956
Engineering,16,1996
Chemistry,16,1944
Neuroscience,16,1959
Mathematics,16,1952
"Economics, Econometrics and Finance",16,1960
Health Professions,16,1934
"Business, Management and Accounting",16,1957
Health Professions,16,1935
Health Professions,16,1933
Decision Sciences,16,1969
"Biochemistry, Genetics and Molecular Biology",16,1930
"Biochemistry, Genetics and Molecular Biology",16,1941
Chemistry,16,1932
Computer Science,16,1955
Immunology and Microbiology,16,1964
Materials Science,16,1948
Decision Sciences,16,1991
Psychology,16,1949
Health Professions,16,1901
"Biochemistry, Genetics and Molecular Biology",16,1908
Physics and Astronomy,16,1946
Chemistry,16,1947
Chemical Engineering,16,1994
Computer Science,16,1951
Health Professions,16,1925
Health Professions,16,1900
Agricultural and Biological Sciences,16,1901
"Economics, Econometrics and Finance",16,1936
Immunology and Microbiology,16,1983
"Pharmacology, Toxicology and Pharmaceutics",16,1982
Decision Sciences,16,1982
Agricultural and Biological Sciences,16,1916
Materials Science,16,1956
Health Professions,16,1914
Environmental Science,16,1916
Engineering,16,1919
Materials Science,16,1952
Computer Science,16,1957
Environmental Science,16,1929
"Pharmacology, Toxicology and Pharmaceutics",16,1989
Agricultural and Biological Sciences,16,1907
"Business, Management and Accounting",16,1937
Veterinary,17,2017
"Economics, Econometrics and Finance",17,1933
Chemistry,17,1938
Mathematics,17,1935
"Economics, Econometrics and Finance",17,1935
Physics and Astronomy,17,1949
Computer Science,17,1948
Environmental Science,17,1902
Engineering,17,1906
Agricultural and Biological Sciences,17,1905
"Business, Management and Accounting",17,1950
"Pharmacology, Toxicology and Pharmaceutics",17,1985
Agricultural and Biological Sciences,17,1908
Energy,17,1990
Chemical Engineering,17,1993
Decision Sciences,17,1986
Immunology and Microbiology,17,1965
Agricultural and Biological Sciences,17,1915
Nursing,17,1984
Engineering,17,1912
Health Professions,17,1911
Health Professions,17,1922
Environmental Science,17,1922
"Business, Management and Accounting",17,1925
"Economics, Econometrics and Finance",17,1926
"Business, Management and Accounting",17,1960
Engineering,17,1943
Environmental Science,17,1926
Immunology and Microbiology,17,1959
Earth and Planetary Sciences,17,1959
Nursing,17,1997
Psychology,17,1951
"Pharmacology, Toxicology and Pharmaceutics",17,1997
Decision Sciences,17,1968
Neuroscience,17,1967
"Business, Management and Accounting",17,1929
"Pharmacology, Toxicology and Pharmaceutics",17,1978
Psychology,17,1955
"Pharmacology, Toxicology and Pharmaceutics",17,1977
Energy,17,1977
Health Professions,17,1941
Environmental Science,17,1936
Earth and Planetary Sciences,17,1938
Health Professions,17,1930
Neuroscience,17,1970
Environmental Science,17,1930
Mathematics,17,1930
Decision Sciences,17,1974
Veterinary,17,2016
Computer Science,17,1959
Veterinary,17,2007
Decision Sciences,18,1965
Chemistry,18,1942
Health Professions,18,1942
Energy,18,1979
Chemistry,18,1927
Earth and Planetary Sciences,18,1952
Materials Science,18,1998
Agricultural and Biological Sciences,18,1928
Dentistry,18,1999
Dentistry,18,2000
Psychology,18,1959
Health Professions,18,1943
"Business, Management and Accounting",18,1927
Engineering,18,1922
Health Professions,18,1944
Environmental Science,18,1925
Decision Sciences,18,1976
Environmental Science,18,1931
Agricultural and Biological Sciences,18,1939
Veterinary,18,2011
Nursing,18,1986
Environmental Science,18,1910
Neuroscience,18,1993
Agricultural and Biological Sciences,18,1900
Engineering,18,1923
Psychology,18,1950
Neuroscience,18,1966
Psychology,18,1954
"Pharmacology, Toxicology and Pharmaceutics",18,1990
Agricultural and Biological Sciences,18,1902
Decision Sciences,18,1989
Mathematics,18,1932
"Biochemistry, Genetics and Molecular Biology",18,1935
Mathematics,18,1929
Psychology,18,1958
"Pharmacology, Toxicology and Pharmaceutics",18,1970
Chemistry,18,1937
Computer Science,18,1938
"Economics, Econometrics and Finance",18,1938
"Economics, Econometrics and Finance",18,1939
Agricultural and Biological Sciences,19,1926
Health Professions,19,1926
Psychology,19,1952
Agricultural and Biological Sciences,19,1920
Agricultural and Biological Sciences,19,1922
Neuroscience,19,1962
Engineering,19,1905
"Economics, Econometrics and Finance",19,1947
Immunology and Microbiology,19,1988
Neuroscience,19,1969
"Economics, Econometrics and Finance",19,1934
Mathematics,19,1964
"Economics, Econometrics and Finance",19,1946
Nursing,19,1989
"Business, Management and Accounting",19,1947
Environmental Science,19,1946
Agricultural and Biological Sciences,19,1914
Energy,19,1985
Neuroscience,19,1982
"Economics, Econometrics and Finance",19,1923
Mathematics,19,1971
Decision Sciences,19,1971
"Pharmacology, Toxicology and Pharmaceutics",19,1976
Agricultural and Biological Sciences,19,1995
Computer Science,19,1954
Mathematics,20,1967
Chemical Engineering,20,1999
Immunology and Microbiology,20,1978
Chemistry,20,1945
Nursing,20,1994
"Business, Management and Accounting",20,1963
"Pharmacology, Toxicology and Pharmaceutics",20,1988
Psychology,20,1948
"Economics, Econometrics and Finance",20,1964
"Pharmacology, Toxicology and Pharmaceutics",20,1992
Agricultural and Biological Sciences,20,1904
Engineering,20,1925
Environmental Science,20,1943
Health Professions,20,1920
Immunology and Microbiology,20,1966
Agricultural and Biological Sciences,20,1918
Agricultural and Biological Sciences,20,1911
Earth and Planetary Sciences,20,1961
Materials Science,20,1951
Agricultural and Biological Sciences,20,1913
Earth and Planetary Sciences,20,1939
Earth and Planetary Sciences,20,1968
Immunology and Microbiology,20,1976
Health Professions,20,1931
Energy,20,1976
"Economics, Econometrics and Finance",20,1929
Environmental Science,20,1938
Environmental Science,21,1927
"Business, Management and Accounting",21,1954
Physics and Astronomy,21,1948
Nursing,21,1990
"Economics, Econometrics and Finance",21,1909
Energy,21,1997
"Economics, Econometrics and Finance",21,1912
"Business, Management and Accounting",21,1932
Energy,21,1994
Earth and Planetary Sciences,21,1937
Chemistry,21,1935
Environmental Science,21,1935
Physics and Astronomy,21,1935
"Biochemistry, Genetics and Molecular Biology",21,1936
Chemical Engineering,21,2000
Health Professions,21,1938
"Business, Management and Accounting",21,1962
"Economics, Econometrics and Finance",21,1942
Decision Sciences,22,1983
Computer Science,22,1962
Energy,22,1984
Health Professions,22,1927
"Economics, Econometrics and Finance",22,1950
Chemistry,22,1949
Psychology,22,1957
"Pharmacology, Toxicology and Pharmaceutics",22,1987
"Business, Management and Accounting",22,1973
Immunology and Microbiology,22,1994
Engineering,22,1913
"Biochemistry, Genetics and Molecular Biology",22,1931
Environmental Science,22,1937
Computer Science,22,1995
"Business, Management and Accounting",22,1965
Health Professions,22,1936
"Biochemistry, Genetics and Molecular Biology",22,1937
Environmental Science,22,1941
Engineering,22,1945
Veterinary,22,2005
Earth and Planetary Sciences,22,1954
Physics and Astronomy,22,1954
Immunology and Microbiology,22,1989
Energy,23,1988
"Pharmacology, Toxicology and Pharmaceutics",23,1973
Engineering,23,1915
Environmental Science,23,1933
Materials Science,23,1954
Neuroscience,23,1976
Psychology,23,1947
Environmental Science,23,1932
"Business, Management and Accounting",23,1959
Materials Science,23,1955
Energy,23,1992
Mathematics,23,1979
Agricultural and Biological Sciences,23,1929
Immunology and Microbiology,23,1985
Engineering,23,1907
Health Professions,23,1937
Nursing,23,1999
"Business, Management and Accounting",23,1968
Health Professions,23,1939
Agricultural and Biological Sciences,23,1941
Veterinary,23,2013
Health Professions,23,1929
Earth and Planetary Sciences,23,1998
Mathematics,23,1978
"Economics, Econometrics and Finance",23,1958
Health Professions,23,1919
Environmental Science,23,1949
Immunology and Microbiology,24,1993
"Economics, Econometrics and Finance",24,1954
Materials Science,24,1958
Engineering,24,1926
Physics and Astronomy,24,1952
Mathematics,24,1966
Agricultural and Biological Sciences,24,1944
Decision Sciences,24,1988
"Biochemistry, Genetics and Molecular Biology",24,1995
Materials Science,24,1961
"Economics, Econometrics and Finance",24,1965
Decision Sciences,24,1970
"Pharmacology, Toxicology and Pharmaceutics",24,1999
Health Professions,24,1945
Computer Science,24,1966
Psychology,24,1966
Chemistry,24,1930
Neuroscience,24,1983
Physics and Astronomy,24,1955
"Economics, Econometrics and Finance",24,1998
Mathematics,25,1973
Decision Sciences,25,1997
"Biochemistry, Genetics and Molecular Biology",25,1932
Veterinary,25,2008
Decision Sciences,25,1993
Energy,25,1993
Immunology and Microbiology,25,1986
"Economics, Econometrics and Finance",25,1963
Agricultural and Biological Sciences,25,1938
"Economics, Econometrics and Finance",25,1937
Mathematics,25,1965
Computer Science,25,1964
Engineering,25,1938
Neuroscience,25,1978
Immunology and Microbiology,25,1982
Neuroscience,25,1991
Earth and Planetary Sciences,25,1966
Computer Science,25,1967
"Biochemistry, Genetics and Molecular Biology",25,1946
Psychology,25,1956
Agricultural and Biological Sciences,26,1942
"Pharmacology, Toxicology and Pharmaceutics",26,1994
"Pharmacology, Toxicology and Pharmaceutics",26,1979
Earth and Planetary Sciences,26,1967
Engineering,26,1928
"Biochemistry, Genetics and Molecular Biology",26,1945
"Business, Management and Accounting",26,1966
Veterinary,26,2015
Immunology and Microbiology,26,1991
Earth and Planetary Sciences,26,1963
"Economics, Econometrics and Finance",26,1952
Psychology,26,1963
Earth and Planetary Sciences,26,1960
Earth and Planetary Sciences,26,1965
"Biochemistry, Genetics and Molecular Biology",27,1929
"Biochemistry, Genetics and Molecular Biology",27,1934
"Biochemistry, Genetics and Molecular Biology",27,1939
"Biochemistry, Genetics and Molecular Biology",27,1998
Dentistry,27,2007
Psychology,27,1965
Energy,27,1983
Decision Sciences,27,1987
Mathematics,27,1970
Immunology and Microbiology,27,1984
Health Professions,27,1959
Agricultural and Biological Sciences,27,1925
"Economics, Econometrics and Finance",27,1951
"Economics, Econometrics and Finance",27,1959
Mathematics,27,1982
Decision Sciences,28,1992
Health Professions,28,1948
Earth and Planetary Sciences,28,1964
"Pharmacology, Toxicology and Pharmaceutics",28,1984
"Pharmacology, Toxicology and Pharmaceutics",28,1971
Energy,28,1982
Nursing,28,2001
Neuroscience,28,1977
Decision Sciences,28,1990
"Economics, Econometrics and Finance",28,1957
Dentistry,28,2002
Health Professions,28,1963
Materials Science,28,1960
Immunology and Microbiology,28,1990
Health Professions,28,1957
Physics and Astronomy,28,1957
Engineering,29,1916
Health Professions,29,1954
Engineering,29,1931
Environmental Science,29,1948
Neuroscience,29,1984
"Pharmacology, Toxicology and Pharmaceutics",29,1983
Veterinary,29,2010
Veterinary,29,2009
Health Professions,29,1949
Agricultural and Biological Sciences,29,1945
"Business, Management and Accounting",29,1977
Engineering,29,1944
Health Professions,29,1961
Psychology,29,1964
Mathematics,30,1985
Psychology,30,1967
Decision Sciences,30,1979
Agricultural and Biological Sciences,30,1923
Engineering,30,1927
Computer Science,30,1960
Health Professions,30,1952
Earth and Planetary Sciences,30,1958
Engineering,30,1903
Environmental Science,30,1998
Dentistry,30,2003
Arts and Humanities,30,1920
Neuroscience,30,1988
Neuroscience,31,1986
"Economics, Econometrics and Finance",31,1962
Nursing,31,1991
Agricultural and Biological Sciences,31,1932
Chemical Engineering,31,2004
Physics and Astronomy,31,1964
"Pharmacology, Toxicology and Pharmaceutics",31,2000
Neuroscience,31,1985
Agricultural and Biological Sciences,31,1943
Decision Sciences,31,1994
Mathematics,31,1977
Neuroscience,31,1997
"Economics, Econometrics and Finance",31,1967
Dentistry,31,2001
Medicine,31,1918
Chemical Engineering,31,2001
Agricultural and Biological Sciences,31,1947
Agricultural and Biological Sciences,32,1937
Agricultural and Biological Sciences,32,1933
Health Professions,32,1956
Psychology,32,1960
Mathematics,32,1969
Psychology,32,1961
Engineering,32,1934
Mathematics,32,1976
Medicine,32,1922
Agricultural and Biological Sciences,32,1924
"Business, Management and Accounting",33,1971
Environmental Science,33,1954
Earth and Planetary Sciences,33,1969
Agricultural and Biological Sciences,33,1930
Nursing,33,2000
Psychology,33,1982
Agricultural and Biological Sciences,33,1946
Environmental Science,33,1966
Earth and Planetary Sciences,33,1973
Psychology,33,1968
Psychology,33,1977
Environmental Science,33,1951
Agricultural and Biological Sciences,33,1954
Environmental Science,33,1959
Chemical Engineering,33,2012
Computer Science,33,1971
Earth and Planetary Sciences,33,1974
Immunology and Microbiology,33,1987
Immunology and Microbiology,33,1999
Dentistry,33,2004
Mathematics,33,1983
Medicine,34,1924
"Economics, Econometrics and Finance",34,1961
Arts and Humanities,34,1998
Mathematics,34,1968
Arts and Humanities,34,1919
Materials Science,34,1968
"Business, Management and Accounting",34,1974
Materials Science,34,1965
Mathematics,34,1992
Computer Science,34,1963
Health Professions,34,1955
Environmental Science,35,1957
Psychology,35,1962
Materials Science,35,1964
"Biochemistry, Genetics and Molecular Biology",35,1955
Health Professions,35,1962
Mathematics,35,1988
Neuroscience,35,1987
Materials Science,35,1959
Veterinary,35,2020
Engineering,35,1941
Physics and Astronomy,35,1995
Chemistry,36,1950
Chemistry,36,1956
Chemical Engineering,36,2002
"Business, Management and Accounting",36,1969
Veterinary,36,2014
Neuroscience,36,1992
"Economics, Econometrics and Finance",36,1966
Social Sciences,36,1995
Engineering,36,1929
Engineering,36,1930
Nursing,36,2002
Agricultural and Biological Sciences,36,1927
"Economics, Econometrics and Finance",36,1969
Veterinary,36,2019
Chemical Engineering,36,2006
Health Professions,36,1958
Chemical Engineering,37,2003
Arts and Humanities,37,1995
Computer Science,37,1965
Engineering,37,1937
Agricultural and Biological Sciences,37,1934
Computer Science,38,1998
Chemical Engineering,38,2010
Mathematics,38,1974
Chemical Engineering,38,2007
Agricultural and Biological Sciences,38,1998
Environmental Science,38,1956
"Biochemistry, Genetics and Molecular Biology",38,1956
Chemical Engineering,38,2016
Mathematics,38,1984
Engineering,38,1933
Neuroscience,38,1990
Arts and Humanities,38,1903
Agricultural and Biological Sciences,38,1949
Chemical Engineering,38,2017
"Biochemistry, Genetics and Molecular Biology",38,1949
Physics and Astronomy,38,1959
Psychology,38,1971
Materials Science,38,1957
"Biochemistry, Genetics and Molecular Biology",38,1951
Psychology,38,1974
Chemical Engineering,39,2008
Nursing,39,2003
"Business, Management and Accounting",39,1978
Decision Sciences,39,1999
Health Professions,39,1946
Engineering,39,1946
Mathematics,39,1993
Energy,39,1999
Chemical Engineering,39,2019
Chemical Engineering,40,2009
Chemistry,40,1948
Earth and Planetary Sciences,40,1970
Agricultural and Biological Sciences,40,1935
Engineering,40,1935
Decision Sciences,40,2000
Health Professions,40,1950
Health Professions,40,1960
Mathematics,40,1997
Health Professions,40,1966
Psychology,40,1976
Engineering,40,1942
Medicine,40,1925
"Biochemistry, Genetics and Molecular Biology",40,1954
Neuroscience,40,1989
Mathematics,40,1987
Psychology,41,1969
Chemistry,41,1951
"Biochemistry, Genetics and Molecular Biology",41,1952
"Business, Management and Accounting",41,1982
"Business, Management and Accounting",41,1979
Materials Science,41,1966
Agricultural and Biological Sciences,41,1951
Engineering,41,1936
Mathematics,41,1986
"Economics, Econometrics and Finance",42,1971
Materials Science,42,1967
Immunology and Microbiology,42,2001
Environmental Science,42,1955
Environmental Science,42,1962
Agricultural and Biological Sciences,42,1931
Agricultural and Biological Sciences,42,1955
"Economics, Econometrics and Finance",43,1973
Social Sciences,43,1900
Arts and Humanities,43,1942
"Pharmacology, Toxicology and Pharmaceutics",43,2001
Physics and Astronomy,43,1960
"Biochemistry, Genetics and Molecular Biology",43,1947
Environmental Science,43,1965
"Pharmacology, Toxicology and Pharmaceutics",43,2002
Agricultural and Biological Sciences,43,1936
Medicine,43,1905
Earth and Planetary Sciences,43,1978
Psychology,43,1978
Health Professions,43,1951
Arts and Humanities,43,1900
"Economics, Econometrics and Finance",44,1974
Chemistry,44,1965
Environmental Science,44,1952
Mathematics,44,1990
Arts and Humanities,44,1916
Psychology,44,1973
Health Professions,44,1964
"Economics, Econometrics and Finance",44,1978
Chemical Engineering,44,2005
"Business, Management and Accounting",44,1976
Neuroscience,44,1994
"Business, Management and Accounting",44,1983
Immunology and Microbiology,45,1997
Materials Science,45,1962
Dentistry,45,2008
Earth and Planetary Sciences,45,1971
Computer Science,45,1968
Chemistry,46,1954
Medicine,46,1921
Earth and Planetary Sciences,46,1976
Health Professions,46,1970
Environmental Science,46,1950
Engineering,46,1932
Medicine,46,1903
Arts and Humanities,46,1906
Chemistry,46,1955
"Business, Management and Accounting",46,1970
Social Sciences,46,1910
"Economics, Econometrics and Finance",46,1968
Medicine,47,1917
Health Professions,47,1947
"Biochemistry, Genetics and Molecular Biology",47,1948
Arts and Humanities,47,1904
Arts and Humanities,47,1914
Medicine,47,1904
Dentistry,47,2005
Engineering,47,1939
Mathematics,48,1989
Physics and Astronomy,48,1958
Dentistry,48,2006
Arts and Humanities,48,1901
Psychology,48,1983
Nursing,48,2004
Agricultural and Biological Sciences,48,1948
Psychology,48,1970
Social Sciences,48,1901
Social Sciences,48,1904
Chemical Engineering,48,2011
Arts and Humanities,49,1918
"Pharmacology, Toxicology and Pharmaceutics",49,2019
Environmental Science,49,1967
Health Professions,49,1965
"Business, Management and Accounting",49,1984
Arts and Humanities,49,1923
Mathematics,49,1994
Agricultural and Biological Sciences,50,1952
Chemistry,50,1960
Medicine,50,1915
Earth and Planetary Sciences,50,1977
Medicine,50,1944
Arts and Humanities,50,1921
Environmental Science,50,1958
Arts and Humanities,50,1902
Environmental Science,50,1961
"Biochemistry, Genetics and Molecular Biology",51,1960
Environmental Science,51,1964
Medicine,51,1901
Environmental Science,51,1969
Health Professions,51,1967
"Economics, Econometrics and Finance",51,1977
Agricultural and Biological Sciences,52,1956
Medicine,52,1907
Psychology,52,1984
Neuroscience,52,1999
Energy,52,2001
Medicine,52,1900
Computer Science,53,1970
"Economics, Econometrics and Finance",53,1979
Medicine,53,1902
Arts and Humanities,53,1913
"Biochemistry, Genetics and Molecular Biology",53,1961
"Biochemistry, Genetics and Molecular Biology",53,1950
Chemistry,53,1952
Chemical Engineering,53,2020
"Pharmacology, Toxicology and Pharmaceutics",53,2003
Social Sciences,53,1902
Social Sciences,53,1906
Arts and Humanities,54,1905
"Pharmacology, Toxicology and Pharmaceutics",54,2004
Materials Science,54,1969
Environmental Science,54,1973
Medicine,54,1910
Medicine,54,1920
Social Sciences,54,1917
Arts and Humanities,55,1910
Arts and Humanities,55,1931
Environmental Science,55,1971
Computer Science,55,1974
"Economics, Econometrics and Finance",55,1976
Chemical Engineering,55,2014
Nursing,55,2007
Energy,55,2000
Arts and Humanities,56,1944
Computer Science,56,1969
Psychology,56,1988
"Economics, Econometrics and Finance",56,1982
Chemistry,56,1957
Nursing,56,2006
Physics and Astronomy,57,1966
Physics and Astronomy,57,1967
Immunology and Microbiology,57,2000
"Biochemistry, Genetics and Molecular Biology",57,1963
Arts and Humanities,57,1924
Social Sciences,57,1905
Physics and Astronomy,58,1968
Medicine,58,1906
Physics and Astronomy,58,1961
Chemistry,58,1961
Social Sciences,58,1908
Engineering,58,1947
Engineering,58,1995
Health Professions,58,1971
Materials Science,58,1971
Environmental Science,58,1963
Physics and Astronomy,59,1998
Arts and Humanities,59,1912
"Business, Management and Accounting",59,1985
Social Sciences,59,1914
"Biochemistry, Genetics and Molecular Biology",59,1958
Medicine,59,1911
Nursing,59,2005
Energy,59,2002
Health Professions,60,1973
Arts and Humanities,60,1908
Decision Sciences,60,2001
"Biochemistry, Genetics and Molecular Biology",60,1957
Psychology,60,1979
Agricultural and Biological Sciences,60,1961
Social Sciences,60,1919
Chemistry,60,1962
Arts and Humanities,60,1917
Dentistry,60,2013
Arts and Humanities,60,1943
Physics and Astronomy,60,1965
Dentistry,61,2017
Medicine,61,1916
Arts and Humanities,61,1941
Materials Science,61,1963
Agricultural and Biological Sciences,61,1966
Medicine,61,1919
Chemical Engineering,61,2013
Health Professions,61,1968
Mathematics,62,1991
Nursing,62,2009
"Business, Management and Accounting",62,1987
"Biochemistry, Genetics and Molecular Biology",62,1959
"Pharmacology, Toxicology and Pharmaceutics",62,2016
Environmental Science,62,1968
Medicine,62,1931
"Pharmacology, Toxicology and Pharmaceutics",62,2017
Social Sciences,62,1916
Agricultural and Biological Sciences,62,1957
Arts and Humanities,62,1925
Health Professions,63,1974
Earth and Planetary Sciences,63,1979
Nursing,63,2008
Arts and Humanities,63,1907
Engineering,63,1951
Chemistry,63,1958
"Economics, Econometrics and Finance",63,1970
Immunology and Microbiology,63,2002
Materials Science,63,1970
Social Sciences,64,1903
Computer Science,64,1973
Engineering,64,1954
Chemical Engineering,64,2015
Computer Science,64,1976
Environmental Science,64,1960
Dentistry,64,2009
Materials Science,64,1978
"Pharmacology, Toxicology and Pharmaceutics",64,2006
Social Sciences,64,1918
Medicine,65,1908
Psychology,65,1985
Computer Science,65,1978
Dentistry,65,2015
Dentistry,65,2019
Agricultural and Biological Sciences,66,1958
Medicine,66,1909
Chemistry,66,1964
Health Professions,66,1969
Psychology,66,1986
Engineering,67,1950
Arts and Humanities,67,1915
Materials Science,67,1977
