topic_field_display_name,id,pub_year
"Pharmacology, Toxicology and Pharmaceutics",2,1928
Veterinary,2,1928
Chemical Engineering,2,1929
Dentistry,2,1941
Energy,2,1941
"Pharmacology, Toxicology and Pharmaceutics",2,1929
Medicine,2,2018
Social Sciences,2,2018
Earth and Planetary Sciences,2,2018
Dentistry,2,1929
Agricultural and Biological Sciences,2,1940
Computer Science,2,1940
Environmental Science,2,1940
Nursing,2,1925
"Pharmacology, Toxicology and Pharmaceutics",2,1925
Dentistry,2,1926
Immunology and Microbiology,2,1926
"Pharmacology, Toxicology and Pharmaceutics",2,1926
Dentistry,2,1927
Nursing,2,1927
Computer Science,2,1925
Neuroscience,2,1942
Neuroscience,2,1923
Chemical Engineering,2,1924
Computer Science,2,1924
Materials Science,2,1923
Decision Sciences,2,1942
Mathematics,2,1921
Nursing,2,1921
"Pharmacology, Toxicology and Pharmaceutics",2,1921
Computer Science,2,1922
Immunology and Microbiology,2,1922
Immunology and Microbiology,2,1981
Psychology,2,1981
Social Sciences,2,1981
Chemical Engineering,2,1943
Decision Sciences,2,1943
Energy,2,1943
Nursing,2,1943
Chemical Engineering,2,1944
"Biochemistry, Genetics and Molecular Biology",2,1981
Medicine,2,1980
"Biochemistry, Genetics and Molecular Biology",2,1918
Chemical Engineering,2,1918
Decision Sciences,2,1918
Energy,2,1918
Dentistry,2,1920
Neuroscience,2,1920
Mathematics,2,1980
Materials Science,2,1905
Neuroscience,2,1905
Nursing,2,1905
Computer Science,2,1906
Dentistry,2,1966
Mathematics,2,1907
Nursing,2,1907
Dentistry,2,1949
Immunology and Microbiology,2,1910
Energy,2,1948
Chemistry,2,1908
Decision Sciences,2,1908
Neuroscience,2,1944
Neuroscience,2,1906
Nursing,2,1906
Chemical Engineering,2,1952
Energy,2,1915
Dentistry,2,1957
Decision Sciences,2,1919
Immunology and Microbiology,2,1946
Neuroscience,2,1903
Materials Science,2,1904
Neuroscience,2,1904
"Pharmacology, Toxicology and Pharmaceutics",2,1904
Chemistry,2,1905
Decision Sciences,2,1905
Dentistry,2,1905
Agricultural and Biological Sciences,2,1953
Dentistry,2,1951
Energy,2,1951
Environmental Science,2,1953
Materials Science,2,1953
Mathematics,2,1953
Mathematics,2,1903
"Pharmacology, Toxicology and Pharmaceutics",2,1963
Dentistry,2,1906
Neuroscience,2,1918
Chemical Engineering,2,1927
Materials Science,2,1996
Social Sciences,2,1996
Energy,2,1903
Neuroscience,2,1911
Nursing,2,1949
Neuroscience,2,1913
Veterinary,2,1985
Energy,2,1902
Chemistry,2,1903
"Pharmacology, Toxicology and Pharmaceutics",2,1945
Decision Sciences,2,1917
Veterinary,2,1944
Immunology and Microbiology,2,1914
Nursing,2,1995
"Business, Management and Accounting",2,1996
Neuroscience,2,1914
Computer Science,2,1996
Neuroscience,2,1910
Chemical Engineering,2,1902
Energy,2,1905
Veterinary,2,1947
Earth and Planetary Sciences,2,1917
Veterinary,2,1958
Veterinary,2,1910
Chemical Engineering,2,1911
Dentistry,2,1900
Materials Science,2,1900
"Pharmacology, Toxicology and Pharmaceutics",2,1900
Psychology,2,1900
Veterinary,2,1900
Dentistry,2,1963
Veterinary,2,1946
Chemical Engineering,2,1947
Materials Science,2,1916
"Pharmacology, Toxicology and Pharmaceutics",2,1917
"Biochemistry, Genetics and Molecular Biology",2,1919
"Pharmacology, Toxicology and Pharmaceutics",2,1901
Psychology,2,1901
Social Sciences,2,2022
Dentistry,2,1909
Neuroscience,2,1909
Dentistry,2,1962
Medicine,3,2022
Computer Science,3,1923
Chemistry,3,1924
Energy,3,1924
Immunology and Microbiology,3,1923
Nursing,3,1923
Physics and Astronomy,3,1920
Psychology,3,1920
"Biochemistry, Genetics and Molecular Biology",3,1921
Materials Science,3,1924
Physics and Astronomy,3,1919
Psychology,3,1919
Veterinary,3,1961
Immunology and Microbiology,3,1998
Neuroscience,3,1945
Computer Science,3,1907
Earth and Planetary Sciences,3,1907
Earth and Planetary Sciences,3,1906
Materials Science,3,1906
"Pharmacology, Toxicology and Pharmaceutics",3,1906
"Pharmacology, Toxicology and Pharmaceutics",3,1909
"Pharmacology, Toxicology and Pharmaceutics",3,1995
"Pharmacology, Toxicology and Pharmaceutics",3,1927
Veterinary,3,1978
Chemical Engineering,3,1928
Materials Science,3,1922
Mathematics,3,1922
Veterinary,3,1941
Neuroscience,3,1926
Nursing,3,1926
Physics and Astronomy,3,1925
Immunology and Microbiology,3,1919
Materials Science,3,1919
Veterinary,3,1935
Earth and Planetary Sciences,3,1934
"Pharmacology, Toxicology and Pharmaceutics",3,1912
Physics and Astronomy,3,1905
Psychology,3,1905
Physics and Astronomy,3,1907
Psychology,3,1907
Neuroscience,3,1938
Psychology,3,1912
Materials Science,3,1913
Nursing,3,1912
Energy,3,1934
Materials Science,3,1943
Energy,3,1944
Immunology and Microbiology,3,1943
Immunology and Microbiology,3,1900
Psychology,3,1998
Chemistry,3,1904
Chemistry,3,1914
Chemical Engineering,3,1948
Dentistry,3,1946
Computer Science,3,1915
Materials Science,3,1914
Psychology,3,1913
Psychology,3,1906
Mathematics,3,1910
Earth and Planetary Sciences,3,1910
Computer Science,3,1931
Decision Sciences,3,1931
Earth and Planetary Sciences,3,1931
Immunology and Microbiology,3,1931
"Pharmacology, Toxicology and Pharmaceutics",3,1930
"Business, Management and Accounting",3,1980
Environmental Science,3,1980
Earth and Planetary Sciences,3,1920
Materials Science,3,1920
Earth and Planetary Sciences,3,1918
Mathematics,3,1918
Computer Science,3,1918
Physics and Astronomy,3,1980
Agricultural and Biological Sciences,3,1980
Decision Sciences,3,1934
Immunology and Microbiology,3,1932
"Biochemistry, Genetics and Molecular Biology",3,1901
Energy,3,1967
Neuroscience,3,1927
Nursing,3,1942
"Pharmacology, Toxicology and Pharmaceutics",3,1942
Decision Sciences,3,1927
Immunology and Microbiology,3,1942
Materials Science,3,1902
Veterinary,3,1992
Energy,3,1950
Nursing,3,1939
Computer Science,3,1928
Immunology and Microbiology,3,1928
Mathematics,3,2018
Engineering,3,1940
Medicine,3,1940
Chemistry,3,1906
Decision Sciences,3,1906
Earth and Planetary Sciences,3,1911
Immunology and Microbiology,3,1911
Chemistry,3,1911
"Business, Management and Accounting",3,1905
Computer Science,3,1905
Mathematics,3,1904
Materials Science,3,1903
"Business, Management and Accounting",3,1904
"Economics, Econometrics and Finance",3,1902
Chemistry,3,1917
Computer Science,3,1917
Dentistry,3,1917
Chemical Engineering,3,1966
Veterinary,3,1991
Earth and Planetary Sciences,3,1901
Immunology and Microbiology,3,1944
Materials Science,3,1944
Chemistry,3,1916
Dentistry,3,1916
"Pharmacology, Toxicology and Pharmaceutics",3,1915
Mathematics,3,1917
Decision Sciences,3,1939
Mathematics,3,1946
Decision Sciences,3,1912
"Pharmacology, Toxicology and Pharmaceutics",3,1958
Nursing,3,1931
Decision Sciences,3,1932
Materials Science,3,1936
"Pharmacology, Toxicology and Pharmaceutics",3,1936
Energy,3,1938
Engineering,3,2025
Veterinary,3,1971
Decision Sciences,3,1941
Earth and Planetary Sciences,3,1908
Neuroscience,3,1929
Decision Sciences,3,1930
Neuroscience,4,1941
Psychology,4,1940
Computer Science,4,1908
Immunology and Microbiology,4,1930
Nursing,4,1929
Earth and Planetary Sciences,4,1941
Energy,4,1995
Chemical Engineering,4,1956
Chemical Engineering,4,1954
Mathematics,4,1975
Veterinary,4,1968
Dentistry,4,1984
Computer Science,4,1903
Decision Sciences,4,1945
Earth and Planetary Sciences,4,1904
Materials Science,4,1940
Mathematics,4,1911
Physics and Astronomy,4,1910
Neuroscience,4,1958
Chemical Engineering,4,1969
Energy,4,1969
Dentistry,4,1977
Neuroscience,4,1928
Energy,4,1955
Energy,4,1949
"Pharmacology, Toxicology and Pharmaceutics",4,1949
Veterinary,4,1949
Chemical Engineering,4,1950
Decision Sciences,4,1950
Immunology and Microbiology,4,1902
Mathematics,4,1902
Chemistry,4,1902
Mathematics,4,1942
Computer Science,4,1927
Nursing,4,1973
Veterinary,4,1967
Veterinary,4,1973
Neuroscience,4,1932
Nursing,4,1932
Neuroscience,4,1919
Materials Science,4,1918
Dentistry,4,1982
Veterinary,4,1963
Nursing,4,1930
Physics and Astronomy,4,1913
Neuroscience,4,1907
Immunology and Microbiology,4,1954
Decision Sciences,4,1946
Earth and Planetary Sciences,4,1946
Earth and Planetary Sciences,4,1915
Veterinary,4,1952
Neuroscience,4,1957
"Pharmacology, Toxicology and Pharmaceutics",4,1998
Social Sciences,4,1980
Physics and Astronomy,4,1900
Dentistry,4,1955
"Pharmacology, Toxicology and Pharmaceutics",4,1956
Neuroscience,4,1937
Physics and Astronomy,4,1981
Earth and Planetary Sciences,4,1944
Psychology,4,1980
"Pharmacology, Toxicology and Pharmaceutics",4,1943
Physics and Astronomy,4,1943
Physics and Astronomy,4,1908
"Biochemistry, Genetics and Molecular Biology",4,1909
Earth and Planetary Sciences,4,1912
Dentistry,4,1947
Mathematics,4,1908
Nursing,4,1938
Dentistry,4,1974
Immunology and Microbiology,4,1913
Mathematics,4,1913
Nursing,4,1937
Immunology and Microbiology,4,1935
"Pharmacology, Toxicology and Pharmaceutics",4,1935
Chemical Engineering,4,1936
Chemical Engineering,4,1942
Psychology,4,1925
Dentistry,4,1922
Chemical Engineering,4,1964
Energy,4,1964
Mathematics,4,1947
Nursing,4,1963
Computer Science,4,1912
Environmental Science,4,1906
Decision Sciences,4,1952
Dentistry,4,1998
"Pharmacology, Toxicology and Pharmaceutics",4,1952
Mathematics,4,1923
Computer Science,4,1921
Earth and Planetary Sciences,4,1921
Veterinary,5,1994
Chemical Engineering,5,1951
Veterinary,5,1950
Chemistry,5,1907
Nursing,5,1945
Dentistry,5,1964
Immunology and Microbiology,5,1974
Energy,5,1960
Mathematics,5,1998
"Business, Management and Accounting",5,1921
Chemistry,5,1922
Energy,5,1961
"Pharmacology, Toxicology and Pharmaceutics",5,1961
Dentistry,5,1952
Energy,5,1952
Immunology and Microbiology,5,1927
Mathematics,5,1926
Computer Science,5,1926
Materials Science,5,1926
Computer Science,5,1935
Dentistry,5,1993
Veterinary,5,1956
Immunology and Microbiology,5,1937
Neuroscience,5,1943
"Business, Management and Accounting",5,1943
Psychology,5,1943
Computer Science,5,1920
"Business, Management and Accounting",5,1908
Chemical Engineering,5,1962
Dentistry,5,1948
Chemical Engineering,5,1989
Computer Science,5,1913
Environmental Science,5,1913
Psychology,5,1910
"Biochemistry, Genetics and Molecular Biology",5,1911
"Business, Management and Accounting",5,1912
Decision Sciences,5,1949
Nursing,5,1998
Veterinary,5,1982
Neuroscience,5,1934
Dentistry,5,1971
Veterinary,5,1993
Mathematics,5,1905
Engineering,5,1953
"Economics, Econometrics and Finance",5,1904
Energy,5,1954
Physics and Astronomy,5,1947
"Pharmacology, Toxicology and Pharmaceutics",5,1957
Veterinary,5,1984
Nursing,5,1964
Veterinary,5,1964
Chemistry,5,1915
Nursing,5,1914
Neuroscience,5,1946
Energy,5,1939
Energy,5,1956
Veterinary,5,1932
Chemical Engineering,5,1933
Earth and Planetary Sciences,5,1933
"Business, Management and Accounting",5,1900
Materials Science,5,1927
Dentistry,5,1968
Energy,5,1968
Psychology,5,1931
Nursing,5,1976
Nursing,5,1955
"Pharmacology, Toxicology and Pharmaceutics",5,1955
Neuroscience,5,1939
Dentistry,5,1978
Chemical Engineering,5,1958
Decision Sciences,5,1958
"Economics, Econometrics and Finance",5,1903
Psychology,5,1902
"Business, Management and Accounting",5,1903
Chemistry,5,1901
Earth and Planetary Sciences,5,1903
Chemical Engineering,5,1945
Veterinary,5,1965
Psychology,5,1917
"Business, Management and Accounting",5,1916
"Economics, Econometrics and Finance",5,1916
Energy,5,1957
Psychology,5,1995
Chemistry,5,1909
Energy,5,1958
Veterinary,5,1955
Nursing,5,1971
Nursing,5,1936
Neuroscience,6,1936
Nursing,6,1970
"Pharmacology, Toxicology and Pharmaceutics",6,1950
Psychology,6,1937
Veterinary,6,1970
Chemistry,6,1923
Earth and Planetary Sciences,6,1923
"Business, Management and Accounting",6,1909
Decision Sciences,6,1947
"Business, Management and Accounting",6,1917
Psychology,6,1916
Dentistry,6,1992
Computer Science,6,1916
Environmental Science,6,1908
Immunology and Microbiology,6,1929
Nursing,6,1941
Materials Science,6,1945
Nursing,6,1992
Earth and Planetary Sciences,6,1945
Computer Science,6,1901
"Economics, Econometrics and Finance",6,1901
Mathematics,6,1950
Psychology,6,1915
Physics and Astronomy,6,1944
Nursing,6,1913
Mathematics,6,1914
"Biochemistry, Genetics and Molecular Biology",6,1905
"Biochemistry, Genetics and Molecular Biology",6,1904
Dentistry,6,1967
Chemical Engineering,6,1967
Materials Science,6,1928
Chemical Engineering,6,1955
Neuroscience,6,1931
Dentistry,6,1954
"Business, Management and Accounting",6,1901
Computer Science,6,1929
Chemical Engineering,6,1932
Computer Science,6,1932
Computer Science,6,1975
Physics and Astronomy,6,1902
Psychology,6,1928
"Business, Management and Accounting",6,1918
Earth and Planetary Sciences,6,1905
"Pharmacology, Toxicology and Pharmaceutics",6,1964
"Pharmacology, Toxicology and Pharmaceutics",6,1947
Mathematics,6,1916
Immunology and Microbiology,6,1933
Nursing,6,1965
Materials Science,6,1946
Nursing,6,1946
Psychology,6,1914
Nursing,6,1983
"Biochemistry, Genetics and Molecular Biology",6,1924
Physics and Astronomy,6,1924
"Biochemistry, Genetics and Molecular Biology",6,1907
Computer Science,6,1943
