work_id,author_id,countries,topic_field_display_name,pub_year
https://openalex.org/W4300472991,https://openalex.org/A5038634887,[],Medicine,2006
https://openalex.org/W4300472991,https://openalex.org/A5044976955,[],"Biochemistry, Genetics and Molecular Biology",2006
https://openalex.org/W4300472991,https://openalex.org/A5044976955,[],Medicine,2006
https://openalex.org/W4319047904,https://openalex.org/A5069587410,['US'],Social Sciences,2012
https://openalex.org/W1650023746,https://openalex.org/A5052435502,[],Engineering,2009
https://openalex.org/W1650023746,https://openalex.org/A5052435502,[],Environmental Science,2009
https://openalex.org/W1650023746,https://openalex.org/A5052435502,[],Health Professions,2009
https://openalex.org/W1650023746,https://openalex.org/A5038353534,[],Engineering,2009
https://openalex.org/W1650023746,https://openalex.org/A5038353534,[],Environmental Science,2009
https://openalex.org/W1650023746,https://openalex.org/A5038353534,[],Health Professions,2009
https://openalex.org/W2635976061,https://openalex.org/A5030429211,[],Mathematics,2010
https://openalex.org/W2635976061,https://openalex.org/A5030429211,[],Computer Science,2010
https://openalex.org/W2635976061,https://openalex.org/A5035506669,[],Mathematics,2010
https://openalex.org/W2635976061,https://openalex.org/A5035506669,[],Computer Science,2010
https://openalex.org/W2730528915,https://openalex.org/A5081463410,['US'],Health Professions,2014
https://openalex.org/W3178722630,https://openalex.org/A5058869522,['GB'],Computer Science,2021
https://openalex.org/W3178722630,https://openalex.org/A5068981769,['GB'],Computer Science,2021
https://openalex.org/W3178722630,https://openalex.org/A5049701126,['MX'],Computer Science,2021
https://openalex.org/W3178722630,https://openalex.org/A5057037690,['GB'],Computer Science,2021
https://openalex.org/W4288090456,https://openalex.org/A5033245341,"['CA', 'FR']",Materials Science,2019
https://openalex.org/W4288090456,https://openalex.org/A5033245341,"['CA', 'FR']",Engineering,2019
https://openalex.org/W4288090456,https://openalex.org/A5081415348,['FR'],Materials Science,2019
https://openalex.org/W4288090456,https://openalex.org/A5081415348,['FR'],Engineering,2019
https://openalex.org/W4288090456,https://openalex.org/A5074677562,['FR'],Materials Science,2019
https://openalex.org/W4288090456,https://openalex.org/A5074677562,['FR'],Engineering,2019
https://openalex.org/W4288090456,https://openalex.org/A5032653368,['CA'],Materials Science,2019
https://openalex.org/W4288090456,https://openalex.org/A5032653368,['CA'],Engineering,2019
https://openalex.org/W4288090456,https://openalex.org/A5002764583,['CA'],Materials Science,2019
https://openalex.org/W4288090456,https://openalex.org/A5002764583,['CA'],Engineering,2019
https://openalex.org/W4288090456,https://openalex.org/A5063485655,['FR'],Materials Science,2019
https://openalex.org/W4288090456,https://openalex.org/A5063485655,['FR'],Engineering,2019
https://openalex.org/W4288104205,https://openalex.org/A5075010559,['FR'],Computer Science,2019
https://openalex.org/W4288104205,https://openalex.org/A5052309728,['FR'],Computer Science,2019
https://openalex.org/W4288104205,https://openalex.org/A5007194292,['FR'],Computer Science,2019
https://openalex.org/W4288104205,https://openalex.org/A5064307364,['FR'],Computer Science,2019
https://openalex.org/W4300432811,https://openalex.org/A5063728266,['FR'],Arts and Humanities,2007
https://openalex.org/W4366974590,https://openalex.org/A5069587410,['US'],Social Sciences,2011
https://openalex.org/W4387659385,https://openalex.org/A5051641002,[],Social Sciences,1982
https://openalex.org/W4387659385,https://openalex.org/A5051641002,[],Agricultural and Biological Sciences,1982
https://openalex.org/W2275976041,https://openalex.org/A5012668859,['FR'],Engineering,2014
https://openalex.org/W2288375607,https://openalex.org/A5019760745,['FR'],Engineering,2008
https://openalex.org/W2288375607,https://openalex.org/A5019760745,['FR'],Materials Science,2008
https://openalex.org/W2718861368,https://openalex.org/A5073045128,['FR'],Social Sciences,2011
https://openalex.org/W2718861368,https://openalex.org/A5073045128,['FR'],Arts and Humanities,2011
https://openalex.org/W2718861368,https://openalex.org/A5073045128,['FR'],Agricultural and Biological Sciences,2011
https://openalex.org/W2756532426,https://openalex.org/A5069587410,['US'],Social Sciences,2012
https://openalex.org/W2775124259,https://openalex.org/A5069587410,['US'],Arts and Humanities,2012
https://openalex.org/W2989866132,https://openalex.org/A5016765679,[],Mathematics,1998
https://openalex.org/W2989866132,https://openalex.org/A5016765679,[],Computer Science,1998
https://openalex.org/W3025378965,https://openalex.org/A5032941317,[],Computer Science,2004
https://openalex.org/W3025378965,https://openalex.org/A5091872345,[],Computer Science,2004
https://openalex.org/W3025378965,https://openalex.org/A5086950475,[],Computer Science,2004
