work_id,referenced_work_id
https://openalex.org/W2074493785,https://openalex.org/W2092418740
https://openalex.org/W2074493785,https://openalex.org/W2099605270
https://openalex.org/W2074493785,https://openalex.org/W2150268692
https://openalex.org/W2074493785,https://openalex.org/W2152450950
https://openalex.org/W2074493785,https://openalex.org/W2161767713
https://openalex.org/W2074493785,https://openalex.org/W2244837684
https://openalex.org/W2074493785,https://openalex.org/W2314246994
https://openalex.org/W2074493785,https://openalex.org/W2410623111
https://openalex.org/W2074493785,https://openalex.org/W2413932874
https://openalex.org/W2074493785,https://openalex.org/W2416106374
https://openalex.org/W2147314816,https://openalex.org/W1628423641
https://openalex.org/W2147314816,https://openalex.org/W1964966389
https://openalex.org/W2147314816,https://openalex.org/W1968500587
https://openalex.org/W2147314816,https://openalex.org/W1972132120
https://openalex.org/W2147314816,https://openalex.org/W1977761176
https://openalex.org/W2147314816,https://openalex.org/W1979857181
https://openalex.org/W2147314816,https://openalex.org/W1981143242
https://openalex.org/W2147314816,https://openalex.org/W1981368803
https://openalex.org/W2147314816,https://openalex.org/W1982669048
https://openalex.org/W2147314816,https://openalex.org/W1982952953
https://openalex.org/W2147314816,https://openalex.org/W1986238480
https://openalex.org/W2147314816,https://openalex.org/W1986359451
https://openalex.org/W2147314816,https://openalex.org/W1989060947
https://openalex.org/W2147314816,https://openalex.org/W1994839037
https://openalex.org/W2147314816,https://openalex.org/W1998524463
https://openalex.org/W2147314816,https://openalex.org/W2000187033
https://openalex.org/W2147314816,https://openalex.org/W2000869226
https://openalex.org/W2147314816,https://openalex.org/W2001283055
https://openalex.org/W2147314816,https://openalex.org/W2001297617
https://openalex.org/W2147314816,https://openalex.org/W2002837318
https://openalex.org/W2147314816,https://openalex.org/W2007203236
https://openalex.org/W2147314816,https://openalex.org/W2007661885
https://openalex.org/W2147314816,https://openalex.org/W2015774245
https://openalex.org/W2147314816,https://openalex.org/W2020108497
https://openalex.org/W2147314816,https://openalex.org/W2027930577
https://openalex.org/W2147314816,https://openalex.org/W2029152128
https://openalex.org/W2147314816,https://openalex.org/W2041072402
https://openalex.org/W2147314816,https://openalex.org/W2041777058
https://openalex.org/W2147314816,https://openalex.org/W2048593764
https://openalex.org/W2147314816,https://openalex.org/W2054199543
https://openalex.org/W2147314816,https://openalex.org/W2056127514
https://openalex.org/W2147314816,https://openalex.org/W2056417490
https://openalex.org/W2147314816,https://openalex.org/W2082179062
https://openalex.org/W2147314816,https://openalex.org/W2082507193
https://openalex.org/W2147314816,https://openalex.org/W2089674007
https://openalex.org/W2147314816,https://openalex.org/W2092714010
https://openalex.org/W2147314816,https://openalex.org/W2097127934
